show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
OC220225-SN0235	OC220225-SN0235	Inf	Inf*	0.0352627	0.02256043	0.0334593	0.0363219	0.0365284	0.0316008	Inf	--	--	--	--	--	0	2	0.2482	0.0396	0.2628	0.1066	0.1809	0.0771	0.0645	0.0331	0.1335	0.0254	0.1142	0.0614	0.0278	0.0617	0.0418	0.0637	0.1442	0.0473	0.0789	0.0323	0.1745	0.0407	3.9692	3.99	0.63024055
OC220225-SN0236	OC220225-SN0236	Inf	Inf*	0.000842026	0.000926013	0.00264962	0.00188667	0.00288026	0.000763702	0.00348883	--	--	--	--	--	0	2	0.284	0.0588	0.2786	0.1006	0.1537	0.0528	0.106	0.0714	0.1178	0.0555	0.1472	0.0971	0.0647	0.0316	0.0482	0.078	0.1032	0.0736	0.1114	0.088	0.2572	0.0811	3.9657	3.8319	0.819600499
OC220225-SN0266	OC220225-SN0266	Inf	Inf*	0.003354	0.00210372	0.0347039	0.0345582	0.0344628	0.00367682	Inf	--	--	--	--	--	0	2	0.0249	0.0119	0.1198	0.0166	0.021	0.0145	0.0153	0.0119	0.0143	0.0084	0.0125	0.0138	0.0107	0.0086	0.0101	0.0122	0.0154	0.0138	0.0117	0.013	0.0601	0.0101	3.8637	3.9892	0.650102459
OC220225-SN0267	OC220225-SN0267	Inf	Inf*	0.00295277	0.00280378	1.67882	0.864075	1.920126	0.44953	2.51579	--	--	--	--	--	0	2	0.0491	0.0147	0.1721	0.0204	0.0344	0.0126	0.0254	0.0147	0.0158	0.0098	0.0162	0.0174	0.0129	0.0126	0.0217	0.0117	0.0156	0.0132	0.0228	0.0133	0.0647	0.0149	3.6264	3.84	0.807703531
OC220225-SN0268	OC220225-SN0268	Inf	Inf*	0.0259704	0.018554	0.0460449	0.03788	0.04664	0.03658214	0.0410428	--	--	--	--	--	0	2	0.0403	0.0152	0.1225	0.02	0.0265	0.0147	0.0173	0.0141	0.0197	0.01	0.0173	0.0162	0.0147	0.0177	0.0129	0.0117	0.0194	0.0183	0.0249	0.0123	0.0631	0.0144	3.6029	3.8326	0.805490994
OC220225-SN0269	OC220225-SN0269	Inf	Inf*	0.00224378	0.00196493	0.016283	0.0187	0.0144732	0.00869356	Inf	--	--	--	--	--	0	2	0.0483	0.0153	0.1652	0.0178	0.0272	0.0198	0.0159	0.0102	0.0197	0.0083	0.0255	0.0112	0.0105	0.0112	0.0106	0.0161	0.0336	0.0126	0.0204	0.0114	0.0863	0.0082	3.5352	3.8884	0.916579302
OC220225-SN0272	OC220225-SN0272	Inf	Inf*	0.0131787	0.00668561	0.187447	0.145806	0.205439	0.013161	0.161981	--	--	--	--	--	1	2	0.0854	0.0197	0.1419	0.0341	0.0809	0.0774	0.0176	0.0094	0.0658	0.0082	0.0805	0.0178	0.012	0.0103	0.0234	0.0191	0.1603	0.0122	0.0646	0.009	0.1739	0.0092	3.9017	3.9924	0.660280919
OC220225-SN0273	OC220225-SN0273	Inf	Inf*	0.00134466	0.0011167	0.00251569	0.00475018	0.00299599	0.00118724	0.938959	--	--	--	--	--	0	2	0.0785	0.0136	0.1776	0.0338	0.0787	0.0409	0.0148	0.0091	0.0546	0.0086	0.0366	0.0118	0.0133	0.0107	0.021	0.0162	0.0823	0.0124	0.0285	0.0086	0.0998	0.0099	3.9564	4.0358	0.91008213
OC220225-SN0274	OC220225-SN0274	Inf	Inf*	0.000785122	0.00109629	0.00109677	0.00118147	0.00102199	0.00123566	Inf	--	--	--	--	--	0	2	0.0319	0.0342	0.1668	0.0138	0.021	0.0106	0.0142	0.0109	0.0156	0.0101	0.014	0.0118	0.0127	0.0092	0.0097	0.0099	0.0173	0.0158	0.0127	0.0104	0.0652	0.0117	3.7723	3.9408	0.760081328
OC220225-SN0275	OC220225-SN0275	Inf	Inf*	0.162465	0.427647	0.389672	8.40978	0.444671	0.304714	Inf	--	--	--	--	--	0	2	0.0972	0.0382	0.1563	0.0491	0.0595	0.0305	0.047	0.0235	0.0423	0.0287	0.0519	0.048	0.0306	0.0429	0.028	0.0247	0.0177	0.0288	0.028	0.0217	0.0716	0.0219	3.4678	3.8054	0.768876317
OC220225-SN0276	OC220225-SN0276	Inf	Inf*	0.014010297	0.018092958	0.01595406	0.018568913	0.022083465	0.01290037	Inf	--	--	--	--	--	0	2	0.0418	0.0156	0.1654	0.029	0.0334	0.0139	0.0226	0.0199	0.0189	0.0118	0.0177	0.0197	0.0182	0.0133	0.019	0.0135	0.0128	0.0193	0.0207	0.0154	0.051	0.0206	3.7771	3.7803	0.875668309
OC220225-SN0277	OC220225-SN0277	Inf	Inf*	0.118307	0.0853875	0.451011601	0.496829111	0.297748247	0.5497923	Inf	--	--	--	--	--	0	2	0.016	0.0135	0.1768	0.0469	0.0121	0.0126	0.0148	0.0112	0.0238	0.0089	0.0094	0.0094	0.0108	0.0089	0.0166	0.0097	0.0091	0.0136	0.0104	0.0091	0.0416	0.0106	3.5826	3.734	0.808811918
OC220225-SN0280	OC220225-SN0280	Inf	Inf*	0.328665	0.459464	0.989915	0.794961	0.826343	0.260489	1.27666	--	--	--	--	--	0	2	0.0139	0.0109	0.4299	0.0127	0.0104	0.0115	0.0109	0.0106	0.0175	0.0083	0.0093	0.0089	0.0275	0.0089	0.0116	0.0088	0.0124	0.0115	0.0235	0.01	0.0516	0.0078	3.8896	4.0877	0.65396885
OC220225-SN0281	OC220225-SN0281	Inf	Inf*	0.00083648	0.001143736	0.00257919	0.00339778	0.00221362	0.000600118	0.00357245	--	--	--	--	--	0	2	0.2675	0.1049	0.3047	0.1647	0.1483	0.0558	0.1055	0.0153	0.1082	0.0543	0.1164	0.1079	0.0702	0.132	0.0968	0.0165	0.0299	0.0351	0.0454	0.0343	0.0835	0.0405	3.4093	3.7717	0.76920645
OC220225-SN0282	OC220225-SN0282	Inf	Inf*	0.00121678	0.000929	0.00773734	0.0084923	0.00560892	0.000196756	0.010803	--	--	--	--	--	1	2	0.1653	0.0565	0.2337	0.0998	0.1336	0.1178	0.0502	0.0177	0.1007	0.027	0.1404	0.0425	0.0217	0.0443	0.0674	0.0303	0.1377	0.0311	0.0752	0.0255	0.1725	0.0263	3.9942	3.788	0.838079213
OC220225-SN0284	OC220225-SN0284	Inf	Inf*	0.142965	0.1555525	Inf	9.88203	Inf	Inf	Inf	--	--	--	--	--	0	2	0.1407	0.0422	0.2493	0.0785	0.1178	0.056	0.0387	0.0139	0.0832	0.0237	0.0711	0.0314	0.0184	0.0391	0.05	0.0283	0.0643	0.0252	0.0431	0.0166	0.172	0.0212	3.9377	3.7204	0.778731178
OC220225-SN0285	OC220225-SN0285	Inf	Inf*	0.0979277	0.1224272	2.00231605	1.98411828	2.242143711	1.607592018	Inf	--	--	--	--	--	0	2	0.0529	0.0148	0.1827	0.0317	0.0336	0.015	0.0174	0.0173	0.0188	0.0115	0.0231	0.0199	0.0121	0.0135	0.014	0.0163	0.0143	0.0183	0.0194	0.0128	0.0635	0.0183	3.6178	3.7588	0.789419087
OC220225-SN0286	OC220225-SN0286	Inf	Inf*	0.00656968	0.00695112	0.0293438	0.04872	0.035348	0.0169765	0.0375809	--	--	--	--	--	0	2	0.0125	0.0108	0.1368	0.0123	0.0104	0.0107	0.0117	0.0105	0.0161	0.009	0.0104	0.0087	0.0123	0.009	0.0086	0.0096	0.0093	0.0139	0.0091	0.0123	0.0551	0.0093	3.9783	3.7322	0.756949807
OC220225-SN0290	OC220225-SN0290	Inf	Inf*	0.142889	0.193541	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0397	0.0265	0.1967	0.0291	0.0257	0.0176	0.0218	0.0103	0.0232	0.0161	0.0199	0.0224	0.0118	0.0212	0.0191	0.0106	0.0119	0.0154	0.0133	0.0121	0.0403	0.0119	3.4306	3.6715	0.83417459
OC220225-SN0291	OC220225-SN0291	Inf	Inf*	0.01959	0.0290318	0.129423	0.1488462	0.118351	0.194485	Inf	--	--	--	--	--	0	2	0.0154	0.0117	0.11	0.0151	0.0123	0.0116	0.015	0.0081	0.0139	0.0116	0.0114	0.0097	0.0098	0.0099	0.0142	0.0099	0.01	0.012	0.0089	0.0095	0.0503	0.0082	3.8241	3.9584	0.829651897
OC220225-SN0292	OC220225-SN0292	Inf	Inf*	0.00391624	0.002718899	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0132	0.0146	0.2091	0.0329	0.0132	0.0121	0.0138	0.0074	0.0159	0.0088	0.0122	0.0196	0.0113	0.0154	0.0101	0.0096	0.0163	0.013	0.017	0.0115	0.061	0.0178	3.7577	4.0673	0.925970251
OC220225-SN0296	OC220225-SN0296	Inf	Inf*	0.0392051	0.0869374	0.84367	1.333452	1.02166	0.0344092	1.22103	--	--	--	--	--	0	2	0.0558	0.014	0.207	0.0303	0.0661	0.0718	0.015	0.0083	0.0554	0.0088	0.0718	0.0155	0.0655	0.01	0.0185	0.0169	0.0839	0.0122	0.0375	0.0091	0.1241	0.0101	3.7995	3.8982	0.556440114
OC220225-SN0301	OC220225-SN0301	Inf	Inf*	0.0821	0.0751922	2.38558	1.915974	2.21801	2.04116	1.91495	--	--	--	--	--	0	2	0.0575	0.017	0.153	0.0386	0.0841	0.0368	0.0156	0.0072	0.0546	0.0077	0.0286	0.0224	0.0113	0.0326	0.021	0.0139	0.047	0.0117	0.023	0.0075	0.1002	0.0085	3.7218	3.8317	0.617266187
OC220225-SN0302	OC220225-SN0302	Inf	Inf*	0.0188574	0.034925	0.0213256	0.0326718	0.0272885	0.025266	0.392383	--	--	--	--	--	0	2	0.0581	0.0151	0.1556	0.0444	0.032	0.0129	0.0175	0.0161	0.0222	0.0132	0.0143	0.0156	0.0182	0.0082	0.0146	0.0119	0.0173	0.0273	0.0285	0.0187	0.082	0.0269	3.7459	3.7919	0.853217859
OC220225-SN0308	OC220225-SN0308	Inf	Inf*	0.316364	0.336561	4.03406	5.0124	4.39952	3.37572	Inf	--	--	--	--	--	0	2	0.0232	0.0187	0.1335	0.0166	0.0156	0.0133	0.0154	0.0112	0.0181	0.0111	0.0147	0.0132	0.0107	0.0138	0.0127	0.0157	0.0131	0.013	0.0105	0.0095	0.0361	0.0121	3.9134	3.8586	0.599449956
OC220225-SN0309	OC220225-SN0309	Inf	Inf*	0.0957995	0.0934584	9.80433	8.22333	8.94352	0.0720686	8.71852	--	--	--	--	--	0	2	0.0103	0.0155	0.1329	0.0123	0.0103	0.0087	0.016	0.0103	0.013	0.0084	0.0088	0.0104	0.0105	0.009	0.0129	0.0114	0.0089	0.0124	0.0089	0.0076	0.0429	0.0088	3.8797	3.8259	0.34761046
OC220225-SN0310	OC220225-SN0310	Inf	Inf*	3.83837	3.7373	6.28849	4.349631	5.21214	3.64378	5.67056	--	--	--	--	--	0	2	0.013	0.0142	0.1153	0.0133	0.0117	0.0099	0.0221	0.01	0.0168	0.009	0.0124	0.0106	0.0116	0.0093	0.0186	0.0149	0.01	0.0125	0.0106	0.0089	0.0469	0.0083	3.4552	3.6216	0.76075542
OC220225-SN0313	OC220225-SN0313	Inf	Inf*	0.00556969	0.00645915	0.00767737	0.01097798	0.00894583	0.0082544	0.00978045	--	--	--	--	--	0	2	0.0164	0.1558	0.746	0.0508	0.0152	0.0104	0.0138	0.0075	0.0149	0.009	0.0134	0.0095	0.0102	0.0084	0.0113	0.0105	0.0139	0.0119	0.01	0.0111	0.0637	0.0072	3.9481	3.5558	0.966978573
OC220225-SN0323	OC220225-SN0323	Inf	Inf*	0.105143	0.141712	2.1233	2.95996	1.94516	1.492134	1.71949	--	--	--	--	--	0	2	0.0488	0.0128	0.1763	0.0329	0.066	0.0706	0.016	0.0155	0.0451	0.0107	0.0694	0.0118	0.0133	0.0091	0.0186	0.0162	0.0894	0.0125	0.0337	0.01	0.1628	0.0091	3.7411	3.7771	0.568729951
OC220225-SN0336	OC220225-SN0336	Inf	Inf*	0.000801939	0.000850292	Inf	Inf	Inf	3.15861	Inf	--	--	--	--	--	0	2	0.0244	0.0273	0.1391	0.0185	0.0146	0.0131	0.0125	0.0113	0.0153	0.0115	0.0119	0.0119	0.0096	0.0101	0.0097	0.0095	0.0096	0.0141	0.0102	0.0113	0.0532	0.0097	3.7788	3.9624	0.720659554
OC220225-SN0340	OC220225-SN0340	Inf	Inf*	0.00149941	0.00160332	0.368707	0.57161	0.449624	0.26684	0.544287	--	--	--	--	--	0	2	0.0167	0.0103	0.1685	0.0205	0.0124	0.0118	0.0132	0.0141	0.0163	0.0094	0.0102	0.0121	0.0118	0.0102	0.0095	0.0116	0.0093	0.0136	0.0094	0.0112	0.0497	0.0168	3.9161	3.932	0.891661468
OC220225-SN0343	OC220225-SN0343	Inf	Inf*	0.00875707	0.00726385	0.00510077	0.008409	0.00744938	0.00429814	Inf	--	--	--	--	--	0	2	0.0154	0.0261	0.244	0.0855	0.0112	0.0117	0.013	0.0109	0.014	0.0094	0.0123	0.01	0.0107	0.0094	0.0104	0.0143	0.0098	0.0135	0.0125	0.0116	0.05	0.0098	3.4999	3.6601	0.892302175
OC220225-SN0344	OC220225-SN0344	Inf	Inf*	0.0124525	0.0106383	0.189488955	0.255003887	0.246971633	0.247502034	Inf	--	--	--	--	--	1	2	0.1219	0.026	0.1479	0.0411	0.0806	0.0331	0.064	0.0329	0.0447	0.0317	0.0512	0.0506	0.0163	0.0314	0.0257	0.0164	0.0266	0.0277	0.0325	0.02	0.0704	0.0343	3.7594	3.9934	0.625224727
OC220225-SN0345	OC220225-SN0345	Inf	Inf*	0.0234048	0.0218048	0.01754	0.01681564	0.0186294	0.016528	0.020844	--	--	--	--	--	0	2	0.0689	0.0238	0.2679	0.05	0.0734	0.0922	0.0205	0.0194	0.064	0.0134	0.0941	0.0159	0.0276	0.0139	0.0275	0.0269	0.0748	0.0154	0.0457	0.0137	0.1301	0.0235	3.9331	3.7795	0.650177936
OC220225-SN0351	OC220225-SN0351	Inf	Inf*	0.0163453	0.01830418	0.96548	1.155548	0.895402	0.9509	1.86617	--	--	--	--	--	0	2	0.0608	0.0129	0.1564	0.0275	0.0747	0.0493	0.0132	0.0092	0.0475	0.0087	0.0316	0.0116	0.0112	0.0094	0.0182	0.0151	0.051	0.0132	0.0242	0.013	0.1217	0.0099	4.162	4.1237	0.79173593
OC220225-SN0353	OC220225-SN0353	Inf	Inf*	0.000254316	0.000379616	0.000182632	0.000414135	0.000228381	0.000214808	0.266202	--	--	--	--	--	0	2	0.0678	0.1444	0.2072	0.0176	0.0156	0.0112	0.0113	0.0102	0.0164	0.0104	0.0117	0.0106	0.0097	0.0093	0.0092	0.01	0.0106	0.0128	0.01	0.0098	0.0589	0.0099	3.7824	3.9883	0.604967949
OC220302-SN0734	OC220302-SN0734	Inf	Inf*	0.00115708	0.001101951	3.41819	3.5238	2.83867	3.39209	4.51215	--	--	--	--	--	0	2	0.0362	0.0129	0.1166	0.025	0.0224	0.0112	0.0141	0.0135	0.0197	0.0152	0.0131	0.0265	0.0232	0.0117	0.0145	0.048	0.0147	0.0209	0.0274	0.0164	0.0611	0.0239	4.1222	3.8043	0.786206897
OC220302-SN0749	OC220302-SN0749	Inf	Inf*	0.00300996	0.00364	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.1452	0.0243	0.1454	0.0648	0.0811	0.016	0.0362	0.0407	0.0448	0.0262	0.0314	0.0583	0.0096	0.014	0.0112	0.0106	0.0085	0.0128	0.0091	0.0096	0.0412	0.0095	3.6806	3.6842	0.941357798
OC220302-SN0756	OC220302-SN0756	Inf	Inf*	0.00675879	0.00431	0.105994	0.25544	0.24727	0.00488484	0.233056	--	--	--	--	--	0	2	0.0483	0.0213	0.1629	0.0317	0.0284	0.0153	0.0203	0.0148	0.0308	0.0188	0.0238	0.0218	0.0165	0.0143	0.0208	0.0176	0.015	0.022	0.021	0.0157	0.0595	0.017	4.1308	3.6694	0.434743271
OC220302-SN0761	OC220302-SN0761	Inf	Inf*	0.0052	0.00319894	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	1	2	0.0668	0.0214	0.2512	0.0524	0.0383	0.0132	0.0185	0.0133	0.0206	0.0163	0.0214	0.034	0.0116	0.0336	0.0187	0.0102	0.019	0.0161	0.0159	0.0112	0.0697	0.0171	4.0968	3.549	-0.898059618
OC220302-SN0762	OC220302-SN0762	Inf	Inf*	0.0577453	0.03862047	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.08	0.0211	0.1717	0.0448	0.0795	0.0843	0.022	0.0133	0.0508	0.0139	0.089	0.0204	0.0184	0.0175	0.0243	0.0285	0.0939	0.0211	0.0515	0.0144	0.1444	0.018	3.9451	3.3583	0.432363287
OC220302-SN0767	OC220302-SN0767	Inf	Inf*	0.077803	0.06738213	0.244932	0.2305845	0.256296	0.376402	Inf	--	--	--	--	--	0	2	0.0721	0.015	0.1811	0.0348	0.0769	0.0487	0.0129	0.0101	0.0565	0.0087	0.0333	0.0112	0.0135	0.0101	0.0194	0.0167	0.0452	0.0137	0.02	0.0084	0.1514	0.0103	3.9794	3.7205	0.760056833
OC220302-SN0776	OC220302-SN0776	Inf	Inf*	0.0233408	0.0285464	0.0302409	0.0381142	0.0336682	0.02929386	Inf	--	--	--	--	--	0	2	0.0198	0.0095	0.1251	0.0141	0.0169	0.0123	0.0133	0.0099	0.0183	0.0108	0.0207	0.0115	0.0103	0.0115	0.0102	0.0092	0.0148	0.0145	0.0165	0.0099	0.0567	0.0121	4.0689	3.5789	0.478083786
OC220302-SN0780	OC220302-SN0780	Inf	Inf*	0.0106532	0.0146839	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	0	2	0.0895	0.032	0.1757	0.0641	0.0457	0.0179	0.0367	0.0139	0.0342	0.0242	0.0259	0.0795	0.0255	0.0419	0.0327	0.0254	0.0208	0.0298	0.0332	0.0248	0.0782	0.027	4.028	3.6798	0.876650018
OC220302-SN0781	OC220302-SN0781	Inf	Inf*	0.001008905	0.0008125	0.001132264	0.001125235	0.001367296	0.001415769	Inf	--	--	--	--	--	0	2	0.0121	0.0126	0.1165	0.0145	0.0098	0.011	0.0132	0.0101	0.0137	0.0086	0.0097	0.0097	0.0087	0.0088	0.0098	0.0093	0.0094	0.0131	0.0089	0.0105	0.0446	0.0082	3.7848	3.6196	0.92801943
OC220302-SN0785	OC220302-SN0785	Inf	Inf*	0.000981031	0.000763	0.000741103	0.000795544	0.00050742	0.000562379	2.3732	--	--	--	--	--	0	2	0.1336	0.0251	0.2243	0.0656	0.1001	0.0608	0.0199	0.0145	0.0615	0.0145	0.0461	0.02	0.0268	0.0166	0.0273	0.0264	0.0967	0.0453	0.0403	0.0199	0.1703	0.0297	3.8946	3.7969	0.735128094
OC220302-SN0786	OC220302-SN0786	Inf	Inf*	0.000688907	0.000423	0.0358805	0.0146436	0.0307389	0.00263644	6.49457	--	--	--	--	--	0	2	0.0139	0.0096	0.1408	0.0149	0.016	0.0126	0.0108	0.0086	0.0168	0.0096	0.0117	0.0094	0.0096	0.0102	0.0104	0.0098	0.016	0.0114	0.0092	0.0085	0.0681	0.0099	3.5308	3.5872	0.535108959
OC220302-SN0788	OC220302-SN0788	Inf	Inf*	0.000991255	0.000875	0.000595798	0.001319916	0.00161387	0.000731975	5.59516	--	--	--	--	--	0	2	0.0115	0.0105	0.117	0.0202	0.0102	0.0102	0.012	0.0088	0.0152	0.0097	0.0107	0.0096	0.0114	0.0093	0.012	0.0102	0.0119	0.0134	0.009	0.0103	0.0548	0.0087	4.0578	3.9743	0.774167987
OC220302-SN0789	OC220302-SN0789	Inf	Inf*	0.00101577	0.00091	0.000703693	0.00126985	0.000819278	0.000923	1.9039	--	--	--	--	--	0	2	0.0625	0.0207	0.1487	0.0579	0.0356	0.0136	0.0176	0.0164	0.0207	0.0165	0.0168	0.0263	0.0122	0.0106	0.0147	0.0098	0.0113	0.0152	0.0102	0.0114	0.0541	0.01	3.9538	3.8032	0.654282362
