id,name
BD45-1,S309
BD45-2,CB6
BD45-3,REGN10933
BD45-4,REGN10987
BD45-7,P2B-2F6
BD45-8,S309
BD45-9,H014
BD45-10,CT-P59
BD45-11,LY-CoV555
BD45-12,COV2-2196
BD45-13,COV2-2130
BD45-14,S304
BD45-15,S2M11
BD45-16,S2H14
BD45-17,S2H13
BD45-18,S2E12
BD45-19,S2A4
BD45-20,P4A1
BD45-21,P2C-1F11
BD45-22,P2C-1A3
BD45-23,P2B-2F6
BD45-24,LY-CoV555
BD45-25,LY-CoV488
BD45-26,LY-CoV481
BD45-27,H4
BD45-28,H014
BD45-29,FC05
BD45-30,EY6A
BD45-31,DH1047
BD45-32,DH1041
BD45-33,CV30
BD45-34,CV07-270
BD45-35,CV07-250
BD45-36,CR3022
BD45-37,COVOX-88
BD45-38,COVOX-75
BD45-39,COVOX-45
BD45-40,COVOX-40
BD45-41,COVOX-384
BD45-42,COVOX-316
BD45-43,COVOX-269
BD45-44,COVOX-253H55L
BD45-45,COVOX-253H165L
BD45-46,COVOX-222
BD45-47,COVOX-158
BD45-48,COVOX-150
BD45-49,COVA2-39
BD45-50,COVA2-04
BD45-51,COVA1-16
BD45-52,CC12.3
BD45-53,CC12.1
BD45-54,CB6
BD45-55,CA521
BD45-56,C1A-F10
BD45-57,C1A-C2
BD45-58,C1A-B3
BD45-59,C1A-B12
BD45-60,C144
BD45-61,C135
BD45-62,C121
BD45-63,C119
BD45-64,C110
BD45-65,C105
BD45-66,C104
BD45-67,C102
BD45-68,C002
BD45-69,BG7-20
BD45-70,BG7-15
BD45-71,BG10-19
BD45-72,BG1-24
BD45-73,BG1-22
BD45-74,B38
BD45-75,7D6
BD45-76,6D6
BD45-77,2-15
BD45-78,S309
BD45-79,1-57
BD45-80,CT-P59
BD45-81,CB6
BD45-82,LY-CoV555
BD45-83,COV2-2196
BD45-84,COV2-2130
BD45-85,7LQW
BD45-86,7M8J
BD45-87,7DZY
BD45-88,7DZX
BD45-89,7L2C
BD45-90,7L2F
BD45-91,7L2D
BD45-92,7LQV
BD45-93,7E7X
BD45-94,7E8F
BD45-95,7LCN
BD45-96,7LAB
BD45-97,7LXY
BD45-98,7LY2
BD45-99,7LXZ
BD45-100,7CWS
BD45-101,7L2E
BD45-102,7C2L
BD45-103,S2X35
BD45-104,S2X259
BD45-105,S2H97
BD45-106,S2D106
BD45-107,COVOX-158
BD45-108,P4A1
BD45-109,P5A-3A1
BD45-110,15033-7
BD45-111,15033
BD45-112,CR3022-B6
BD45-113,2H2
BD45-114,P5A-2G7
BD45-115,CV05-163
BD45-116,CV38-142
BD45-117,FC08
BD45-118,CR3014-C8
BD45-119,3C1
BD45-120,H014
BD45-121,P17
BD45-122,P2B-1A10
BD45-123,P5A-2G9
BD45-124,2-43
BD45-125,2-4
BD45-126,2-7
BD45-127,HB27
BD45-128,P5A-1B8
BD45-129,C058
BD45-130,C083
BD45-131,C085
BD45-132,C089
BD45-133,C516
BD45-134,C597
BD45-135,C547
BD45-136,C552
BD45-137,C556
BD45-138,C560
BD45-139,C213
BD45-140,C217
BD45-141,C091
BD45-142,C093
BD45-143,C034
BD45-144,C048
BD45-145,C576
BD45-146,C578
BD45-147,C581
BD45-148,C591
BD45-149,C594
BD45-150,CM32
BD45-151,CV2-75
BD45-152,LY-CoV1404
BD45-153,BG1-24
BD45-154,BG7-20
BD45-155,BG7-15
BD45-156,BG10-19
BD45-157,BG4-25
BD45-158,Ehling_mAb-50
BD45-159,Ehling_mAb-64
BD45-160,Ehling_mAb-82
BD45-161,DH1043
BD45-162,DH1042
BD45-163,DH1179
BD45-164,DH1184
BD45-165,DH1041
BD45-166,DH1186
BD45-167,DH1044
BD45-168,DH1213
BD45-169,DH1126
BD45-170,DH1161-1
BD45-171,DH1173
BD45-172,DH1143
BD45-173,DH1154
BD45-174,DH1047
BD45-175,DH1151
BD45-176,DH1160
BD45-177,DH1140
BD45-178,DH1210
BD45-179,DH1150
BD45-180,DH1045
BD45-181,DH1046
BD45-182,DH1180
BD45-183,DH1183
BD45-184,DH1128
BD45-185,DH1129
BD45-186,DH1155
BD45-187,DH1193
BD45-188,DH1111
BD45-189,DH1161-2
BD45-190,DH1064
BD45-191,DH1073
BD45-192,DH1130
BD45-193,DH1063
BD45-194,DH1082
BD45-195,DH1072
BD45-196,DH1159-2
BD45-197,DH1088
BD45-198,DH1196
BD45-199,DH1117
BD45-200,DH1156
BD45-201,DH1214
BD45-202,S2H14
BD45-203,S2H13
BD45-204,S2A4
BD45-205,TAU-1109
BD45-206,TAU-1115
BD45-207,TAU-1145
BD45-208,TAU-2189
BD45-209,TAU-2230
BD45-210,TAU-2212
BD45-211,TAU-2220
BD45-212,TAU-2310
BD45-213,CV05-163
BD45-214,CV07-200
BD45-215,CV07-209
BD45-216,CV07-222
BD45-217,CV07-250
BD45-218,CV07-255
BD45-219,CV07-262
BD45-220,CV07-270
BD45-221,CV07-283
BD45-222,CV07-287
BD45-223,CV07-315
BD45-224,CV38-142
BD45-225,CV-X2-106
BD45-226,COV2-2961
BD45-227,COV2-3025
BD45-228,COV2-2046
BD45-229,COV2-2196
BD45-230,COV2-2098
BD45-231,COV2-2068
BD45-232,COV2-2504
BD45-233,COV2-2308
BD45-234,COV2-2391
BD45-235,COV2-2113
BD45-236,COV2-2290
BD45-237,COV2-2130
BD45-238,COV2-2050
BD45-239,COV2-2064
BD45-240,COV2-2684
BD45-241,COV2-2072
BD45-242,COV2-2539
BD45-243,COV2-2389
BD45-244,COV2-2096
BD45-245,COV2-2413
BD45-246,COV2-2819
BD45-247,COV2-2381
BD45-248,COV2-2628
BD45-249,COV2-2353
BD45-250,COV2-2589
BD45-251,COV2-2485
BD45-252,COV2-2693
BD45-253,COV2-2531
BD45-254,COV2-2919
BD45-255,COV2-2037
BD45-256,COV2-2780
BD45-257,COV2-2097
BD45-258,COV2-2941
BD45-259,COV2-2479
BD45-260,COV2-2790
BD45-261,COV2-2562
BD45-262,COV2-2955
BD45-263,COV2-2499
BD45-264,COV2-2268
BD45-265,COV2-2760
BD45-266,COV2-2730
BD45-267,COV2-2807
BD45-268,COV2-2355
BD45-269,COV2-2841
BD45-270,COV2-2103
BD45-271,COV2-2677
BD45-272,COV2-2734
BD45-273,COV2-2878
BD45-274,COV2-2848
BD45-275,COV2-2678
BD45-276,COV2-2722
BD45-277,COV2-2258
BD45-278,COV2-2514
BD45-279,COV2-2015
BD45-280,COV2-2828
BD45-281,COV2-2552
BD45-282,NT-193
BD45-283,ADG-2